[ AI-Rank-Log  4/ 7  9:30:57.747 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.859 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:57.956 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58. 34 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.121 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.231 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.334 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.436 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.537 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.635 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.711 ]sampleid: 000000031093.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.796 ]sampleid: 000000031118.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.882 ]sampleid: 000000031217.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:58.989 ]sampleid: 000000031248.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:59. 94 ]sampleid: 000000031269.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:59.174 ]sampleid: 000000031296.jpg, result=true
[ AI-Rank-Log  4/ 7  9:30:59.262 ]sampleid: 000000031322.jpg, result=true
