[ AI-Rank-Log  4/ 8 12:54: 7.334 ]load_data, checksum: e753a469e46c13dcb99114b2202c2a0c
[ AI-Rank-Log  4/ 8 12:54:11.721 ]GPU delegate is created.
ERROR: Following operations are not supported by GPU delegate:
CUSTOM TFLite_Detection_PostProcess: TFLite_Detection_PostProcess
181 operations will run on the GPU, and the remaining 1 operations will run on the CPU.
INFO: Initialized OpenCL-based API.
[ AI-Rank-Log  4/ 8 12:54:28.127 ]sampleid: 000000017029.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.227 ]sampleid: 000000017031.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.349 ]sampleid: 000000017115.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.467 ]sampleid: 000000017178.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.587 ]sampleid: 000000017182.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.686 ]sampleid: 000000017207.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.810 ]sampleid: 000000017379.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:28.927 ]sampleid: 000000017436.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29. 28 ]sampleid: 000000017627.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.144 ]sampleid: 000000017714.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.247 ]sampleid: 000000017899.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.366 ]sampleid: 000000017905.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.465 ]sampleid: 000000017959.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.585 ]sampleid: 000000018150.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.687 ]sampleid: 000000018193.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.805 ]sampleid: 000000018380.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:29.926 ]sampleid: 000000018491.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30. 27 ]sampleid: 000000018519.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.145 ]sampleid: 000000018575.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.248 ]sampleid: 000000018737.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.365 ]sampleid: 000000018770.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.467 ]sampleid: 000000018833.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.588 ]sampleid: 000000018837.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.709 ]sampleid: 000000019042.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.827 ]sampleid: 000000019109.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:30.944 ]sampleid: 000000019221.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31. 46 ]sampleid: 000000019402.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.172 ]sampleid: 000000019432.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.289 ]sampleid: 000000019742.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.405 ]sampleid: 000000019786.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.528 ]sampleid: 000000019924.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.638 ]sampleid: 000000020059.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.747 ]sampleid: 000000020107.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.866 ]sampleid: 000000020247.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:31.990 ]sampleid: 000000020333.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:32.110 ]sampleid: 000000020553.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:32.246 ]sampleid: 000000020571.jpg, result=true
[ AI-Rank-Log  4/ 8 12:54:32.352 ]sampleid: 000000020992.jpg, result=true
