[ AI-Rank-Log  4/ 7 16: 4:20.628 ]sampleid: 000000026204.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.703 ]sampleid: 000000026465.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.775 ]sampleid: 000000026564.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.849 ]sampleid: 000000026690.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.922 ]sampleid: 000000026926.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:20.998 ]sampleid: 000000026941.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21. 70 ]sampleid: 000000027186.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.144 ]sampleid: 000000027620.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.221 ]sampleid: 000000027696.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.301 ]sampleid: 000000027768.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.375 ]sampleid: 000000027932.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.450 ]sampleid: 000000027972.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.522 ]sampleid: 000000027982.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.598 ]sampleid: 000000028285.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.677 ]sampleid: 000000028449.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.757 ]sampleid: 000000028452.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.831 ]sampleid: 000000028809.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.909 ]sampleid: 000000028993.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:21.986 ]sampleid: 000000029187.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22. 60 ]sampleid: 000000029393.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.137 ]sampleid: 000000029397.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.212 ]sampleid: 000000029596.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.290 ]sampleid: 000000029640.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.367 ]sampleid: 000000029675.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.446 ]sampleid: 000000029984.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.523 ]sampleid: 000000030213.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.602 ]sampleid: 000000030494.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.679 ]sampleid: 000000030504.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.756 ]sampleid: 000000030675.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.833 ]sampleid: 000000030785.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.910 ]sampleid: 000000030828.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:22.988 ]sampleid: 000000031050.jpg, result=true
[ AI-Rank-Log  4/ 7 16: 4:23. 64 ]sampleid: 000000031093.jpg, result=true
