AI-Rank-log 1617949766.1769426 sampleid:56beb57b3aeaaa14008c927c, same num=3
AI-Rank-log 1617949766.177016 sampleid:56beb57b3aeaaa14008c927d, same num=1
AI-Rank-log 1617949766.1770892 sampleid:56bf38383aeaaa14008c956b, same num=1
AI-Rank-log 1617949766.1771631 sampleid:56bf38383aeaaa14008c956c, same num=1
AI-Rank-log 1617949766.1772377 sampleid:56bf38383aeaaa14008c956d, same num=0
AI-Rank-log 1617949766.17732 sampleid:56bf38383aeaaa14008c956e, same num=2
AI-Rank-log 1617949766.1773944 sampleid:56bf38383aeaaa14008c956f, same num=1
AI-Rank-log 1617949766.1774676 sampleid:56d6fe0b0d65d214001982a4, same num=1
AI-Rank-log 1617949766.177539 sampleid:56d6fe0b0d65d214001982a5, same num=1
AI-Rank-log 1617949766.1776257 sampleid:56d6fe0b0d65d214001982a6, same num=2
AI-Rank-log 1617949766.1777 sampleid:56d6fe0b0d65d214001982a7, same num=1
AI-Rank-log 1617949766.1777759 sampleid:56d99c44dc89441400fdb5d6, same num=1
AI-Rank-log 1617949766.177865 sampleid:56d99c44dc89441400fdb5d7, same num=1
AI-Rank-log 1617949766.1779492 sampleid:56d99c44dc89441400fdb5d8, same num=2
AI-Rank-log 1617949766.178032 sampleid:56d99c44dc89441400fdb5d9, same num=3
AI-Rank-log 1617949766.1781046 sampleid:56d99c44dc89441400fdb5da, same num=1
AI-Rank-log 1617949766.1781783 sampleid:56beb6533aeaaa14008c928d, same num=1
AI-Rank-log 1617949766.1782513 sampleid:56beb6533aeaaa14008c928e, same num=1
AI-Rank-log 1617949766.1783416 sampleid:56beb6533aeaaa14008c9290, same num=2
AI-Rank-log 1617949766.1784158 sampleid:56beb6533aeaaa14008c9291, same num=0
AI-Rank-log 1617949766.1784909 sampleid:56bf3e803aeaaa14008c9588, same num=1
AI-Rank-log 1617949766.178566 sampleid:56bf3e803aeaaa14008c9589, same num=1
AI-Rank-log 1617949766.1786475 sampleid:56bf3e803aeaaa14008c958b, same num=2
AI-Rank-log 1617949766.17872 sampleid:56d6fea90d65d214001982ae, same num=1
AI-Rank-log 1617949766.1788194 sampleid:56d6fea90d65d214001982af, same num=2
AI-Rank-log 1617949766.1789181 sampleid:56d6fea90d65d214001982b0, same num=2
AI-Rank-log 1617949766.1789942 sampleid:56d6fea90d65d214001982b2, same num=1
AI-Rank-log 1617949766.1790738 sampleid:56d99da8dc89441400fdb5fd, same num=2
AI-Rank-log 1617949766.1791573 sampleid:56d99da8dc89441400fdb5ff, same num=2
AI-Rank-log 1617949766.1792371 sampleid:56d99da8dc89441400fdb600, same num=5
AI-Rank-log 1617949766.1793218 sampleid:56beb6f23aeaaa14008c92a1, same num=2
AI-Rank-log 1617949766.1794045 sampleid:56beb6f23aeaaa14008c92a2, same num=2
AI-Rank-log 1617949766.1794782 sampleid:56beb6f23aeaaa14008c92a3, same num=1
AI-Rank-log 1617949766.1795523 sampleid:56beb6f23aeaaa14008c92a4, same num=1
AI-Rank-log 1617949766.179629 sampleid:56beb6f23aeaaa14008c92a5, same num=0
AI-Rank-log 1617949766.1797266 sampleid:56bf34293aeaaa14008c9559, same num=0
AI-Rank-log 1617949766.1798093 sampleid:56bf34293aeaaa14008c955a, same num=0
AI-Rank-log 1617949766.1798897 sampleid:56bf34293aeaaa14008c955b, same num=1
AI-Rank-log 1617949766.1799734 sampleid:56d701280d65d214001982b8, same num=2
AI-Rank-log 1617949766.1800594 sampleid:56d701280d65d214001982ba, same num=0
AI-Rank-log 1617949766.180139 sampleid:56d701280d65d214001982bc, same num=1
AI-Rank-log 1617949766.1802218 sampleid:56d99e78dc89441400fdb616, same num=2
AI-Rank-log 1617949766.1802986 sampleid:56d99e78dc89441400fdb618, same num=1
AI-Rank-log 1617949766.1803815 sampleid:56d99e78dc89441400fdb619, same num=2
AI-Rank-log 1617949766.180441 sampleid:56d99e78dc89441400fdb61a, same num=1
AI-Rank-log 1617949766.1805253 sampleid:56beb7953aeaaa14008c92ab, same num=2
